en,ge,tr,fr,de,pt,nl,es,it,cn,no,se,dk,cs,pl,gr,jp,kr,rs,hr
Lebanon,ლიბანი,Lübnan,Liban,Libanon,Líbano,Libanon,Líbano,Libano,黎巴嫩,Libanon,libanon,Libanon,Libanon,Liban,Λίβανος,レバノン,레바논,Liban,Liban
Liechtenstein,ლიხტენშტეინი,Lihtenştayn,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,列支敦士登,Liechtenstein,liechtenstein,Liechtenstein,Lichtenštejnsko,Liechtenstein,Λιχτενστάιν,リヒテンシュタイン,리히텐슈타인,Lihtenštajn,Lihtenštajn
Lithuania,ლიტვა,Litvanya,Lituanie,Litauen,Lituânia,Litouwen,Lituania,Lituania,立陶宛,Litauen,litauen,Litauen,Litva,Litwa,Λιθουανία,リトアニア,리투아니아,Litvanija,Litva
Luxembourg,ლუქსემბურგი,Lüksemburg,Luxembourg,Luxemburg,Luxemburgo,Luxemburg,Luxemburgo,Lussemburgo,卢森堡,Luxembourg,luxemburg,Luxembourg,Lucembursko,Luksemburg,Λουξεμβούργο,ルクセンブルク,룩셈부르크,Luksemburg,Luksemburg
Malaysia,მალაიზია,Malezya,Malaisie,Malaysia,Malásia,Maleisië,Malasia,Malaysia,马来西亚,Malaysia,malaysia,Malaysia,Malajsie,Malezja,Μαλαισία,マレーシア,말레이시아,Malezija,Malezija
Maldives,მალდივები,Maldivler,Maldives,Malediven,Maldivas,Maldiven,Maldivas,Maldive,马尔代夫,Maldivene,Maldiverna,Maldiverne,Maledivy,Malediwy,Μαλδίβες,モルディブ,몰디브,Maldivi,Maldivi
Malta,მალტა,Malta,Malte,Malta,Malta,Malta,Malta,Malta,马耳他,Malta,Malta,Malta,Malta,Malta,Μάλτα,マルタ,몰타,Malta,Malta
Martinique,Martinique,Martinik,Martinique,Martinique,Martinique,Martinique,Martinica,Martinique,马提尼克,Martinique,Martinique,Martinique,Martinique,Martynika,Μαρτινίκα,マルティニーク,마르티니크,Martinik,Martinik
Mexico,მექსიკა,Meksika,Mexique,Mexiko,México,Mexico,México,Messico,墨西哥,Mexico,mexico,Mexico,Mexiko,Meksyk,Μεξικό,メキシコ,멕시코,Meksiko,Meksiko
Moldova,მოლდოვა,Moldova,Moldavie,Moldawien,Moldova,Moldavië,Moldavia,Moldova,摩尔多瓦,Moldova,Moldavien,Moldova,Moldavsko,Mołdawia,Μολδαβία,モルドバ,몰르 더바,Moldavija,Moldavija
Monaco,მონაკო,Monako,Monaco,Monaco,Monaco,Monaco,Mónaco,Monaco,摩纳哥,Monaco,Monaco,Monaco,Monaco,Monako,Μονακό,モナコ,모나코,Monako,Monaco
Mongolia,მონღოლეთი,Moğolistan,Mongolie,Mongolei,Mongólia,Mongolië,Mongolia,Mongolia,蒙古,Mongolia,mongoliet,Mongoliet,Mongolsko,Mongolia,Μογγολία,モンゴル,몽골리아,Mongolija,Mongolija
Morocco,მოროკო,Fas,Maroc,Marokko,Marrocos,Marokko,Marruecos,Marocco,摩洛哥,Marokko,Marocko,Marokko,Maroko,Maroko,Μαρόκο,モロッコ,모로코,Maroko,Maroko
Nepal,ნეპალი,Nepal,Népal,Nepal,Nepal,Nepal,Nepal,Nepal,尼泊尔,Nepal,nepal,Nepal,Nepál,Nepal,Νεπάλ,ネパール,네팔,Nepal,Nepal
Netherlands,ნიდერლანდები,Hollanda,Pays-Bas,Niederlande,Países Baixos,Nederland,Países Bajos,Olanda,荷兰,Nederland,nederländerna,Holland,Holandsko,Holandia,Ολλανδία,オランダ,네덜란드,Holandija,Nizozemska
New Zealand,Ახალი ზელანდია,Yeni Zelanda,Nouvelle-Zélande,Neuseeland,Nova Zelândia,Nieuw-Zeeland,Nueva Zelanda,Nuova Zelanda,新西兰,New Zealand,Nya Zeeland,New Zealand,Nový Zéland,Nowa Zelandia,Νέα Ζηλανδία,ニュージーランド,뉴질랜드,Novi Zeland,Novi Zeland
Nigeria,ნიგერია,Nijerya,Nigeria,Nigeria,Nigéria,Nigeria,Nigeria,Nigeria,尼日利亚,Nigeria,nigeria,Nigeria,Nigérie,Nigeria,Νιγηρία,ナイジェリア,나이지리아,Nigerija,Nigerija
North Macedonia,ჩრდ. მაკედონია,Kuzey Makedonya,Macédoine du Nord,Nord Mazedonien,Norte Macedônia,Noord-Macedonië,Norte Macedonia,Nord Macedonia,北马其顿,nord-Makedonia,North Makedonien,North Makedonien,Severní Makedonie,Północna Macedonia,Βόρεια Μακεδονία,北マケドニア,북 마케도니아,Severna Makedonija,Sjeverna Makedonija
Norway,ნორვეგია,Norveç,Norvège,Norwegen,Noruega,Noorwegen,Noruega,Norvegia,挪威,Norge,Norge,Norge,Norsko,Norwegia,Νορβηγία,ノルウェー,노르웨이,Norveška,Norveška
Oman,ომანი,Umman,Oman,Oman,Omã,Oman,Omán,Oman,阿曼,Oman,oman,Oman,Omán,Oman,Ομάν,オマーン,오만,Oman,Oman
Pakistan,პაკისტანი,Pakistan,Pakistan,Pakistan,Paquistão,Pakistan,Pakistán,Pakistan,巴基斯坦,Pakistan,pakistan,Pakistan,Pákistán,Pakistan,Πακιστάν,パキスタン,파키스탄,Pakistan,Pakistan
Panama,პანამა,Panama,Panama,Panama,Panamá,Panama,Panamá,Panama,巴拿马,Panama,Panama,Panama,Panama,Panama,Παναμάς,パナマ,파나마,Panama,Panama
Paraguay,პარაგვაი,Paraguay,Paraguay,Paraguay,Paraguai,Paraguay,Paraguay,Paraguay,巴拉圭,Paraguay,paraguay,Paraguay,Paraguay,Paragwaj,Παραγουάη,パラグアイ,파라과이,Paragvaj,Paragvaj
Peru,პერუ,Peru,Pérou,Peru,Peru,Peru,Perú,Perù,秘鲁,Peru,peru,Peru,Peru,Peru,Περού,ペルー,페루,Peru,Peru
Philippines,ფილიპინები,Filipinler,Philippines,Philippinen,Filipinas,Filippijnen,Filipinas,Filippine,菲律宾,Filippinene,filippinerna,Filippinerne,Filipíny,Filipiny,Φιλιππίνες,フィリピン,필리핀 제도,Filipini,Filipini
Poland,პოლონეთი,Polonya,Pologne,Polen,Polônia,Polen,Polonia,Polonia,波兰,Polen,polen,Polen,Polsko,Polska,Πολωνία,ポーランド,폴란드,Poljska,Poljska
Portugal,პორტუგალია,Portekiz,le Portugal,Portugal,Portugal,Portugal,Portugal,Portogallo,葡萄牙,Portugal,portugal,Portugal,Portugalsko,Portugalia,Πορτογαλία,ポルトガル,포르투갈,Portugal,Portugal
Qatar,ყატარი,Katar,Qatar,Katar,Catar,Katar,Katar,Qatar,卡塔尔,Qatar,Qatar,Qatar,Katar,Katar,Κατάρ,カタール,카타르,Katar,Katar
Reunion,რეუნიონი,Réunion,Réunion,Wiedervereinigung,Reunião,Bijeenkomst,Reunión,Riunione,团圆,Gjenforening,Återförening,Genforening,Shledání,Zjazd,Επανένωση,再会,재결합,Sjedinjeno,Réunion
Romania,რუმინეთი,Romanya,Roumanie,Rumänien,Romênia,Roemenië,Rumania,Romania,罗马尼亚,Romania,rumänien,Rumænien,Rumunsko,Rumunia,Ρουμανία,ルーマニア,루마니아,Rumunija,Rumunjska
Russia,რუსეთი,Rusya,Russie,Russland,Rússia,Rusland,Rusia,Russia,俄国,Russland,ryssland,Rusland,Rusko,Rosja,Ρωσία,ロシア,러시아,Rusija,Rusija
San Marino,სან მარინო,San Marino,Saint Marin,San Marino,San Marino,San Marino,San Marino,San Marino,圣马力诺,San Marino,San Marino,San Marino,San Marino,San Marino,Σαν Μαρίνο,サンマリノ,산 마리노,San Marino,San Marino
Saudi Arabia,საუდის არაბეთი,Suudi Arabistan,Arabie Saoudite,Saudi Arabien,Arábia Saudita,Saoedi-Arabië,Arabia Saudita,Arabia Saudita,沙特阿拉伯,Saudi-Arabia,Saudiarabien,Saudi Arabien,Saudská arábie,Arabia Saudyjska,Σαουδική Αραβία,サウジアラビア,사우디 아라비아,Saudijska Arabija,Saudijska Arabija
Senegal,სენეგალი,Senegal,Sénégal,Senegal,Senegal,Senegal,Senegal,Senegal,塞内加尔,Senegal,Senegal,Senegal,Senegal,Senegal,Σενεγάλη,セネガル,세네갈,Senegal,Senegal
Serbia,სერბეთი,Sırbistan,Serbie,Serbien,Sérvia,Servië,Serbia,Serbia,塞尔维亚,Serbia,Serbien,Serbien,Srbsko,Serbia,Σερβία,セルビア,세르비아,Srbija,Srbija
Singapore,სინგაპური,Singapur,Singapour,Singapur,Cingapura,Singapore,Singapur,Singapore,新加坡,Singapore,Singapore,Singapore,Singapore,Singapur,Σιγκαπούρη,シンガポール,싱가포르,Singapur,Singapur
Slovakia,სლოვაკეთი,Slovakya,Slovaquie,Slowakei,Eslováquia,Slowakije,Eslovaquia,Slovacchia,斯洛伐克,Slovakia,Slovakien,Slovakiet,Slovensko,Słowacja,Σλοβακία,スロバキア,슬로바키아,Slovačka,Slovačka
Slovenia,სლოვენია,Slovenya,Slovénie,Slowenien,Eslovenia,Slovenië,Eslovenia,Slovenia,斯洛文尼亚,Slovenia,slovenien,Slovenien,Slovinsko,Słowenia,Σλοβενία,スロベニア,슬로베니아,Slovenija,Slovenija
South Africa,სამხრეთ აფრიკა,Güney Afrika,Afrique du Sud,Südafrika,África do Sul,Zuid-Afrika,Sudáfrica,Sud Africa,南非,Sør-Afrika,Sydafrika,Sydafrika,Jižní Afrika,Afryka Południowa,Νότια Αφρική,南アフリカ,남아프리카,Južna Afrika,Južna Afrika
South Korea,სამხრეთ კორეა,Güney Kore,Corée du Sud,Südkorea,Coreia do Sul,Zuid-Korea,Corea del Sur,Corea del Sud,韩国,Sør-Korea,Sydkorea,Sydkorea,Jižní Korea,Korea Południowa,Νότια Κορέα,韓国,대한민국,Južna Koreja,Južna Korea
Spain,ესპანეთი,İspanya,Espagne,Spanien,Espanha,Spanje,España,Spagna,西班牙,Spania,Spanien,Spanien,Španělsko,Hiszpania,Ισπανία,スペイン,스페인,Španija,Španjolska
Sri Lanka,შრი ლანკა,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,斯里兰卡,Sri Lanka,Sri Lanka,Sri Lanka,Srí Lanka,Sri Lanka,Σρι Λάνκα,スリランカ,스리랑카,Šri Lanka,Šri Lanka
Sudan,სუდანი,Sudan,Soudan,Sudan,Sudão,Soedan,Sudán,Sudan,苏丹,Sudan,Sudan,Sudan,Sudan,Sudan,Σουδάν,スーダン,수단,Sudan,Sudan
Sweden,შვედეთი,İsveç,Suède,Schweden,Suécia,Zweden,Suecia,Svezia,瑞典,Sverige,Sverige,Sverige,Švédsko,Szwecja,Σουηδία,スウェーデン,스웨덴,Švedska,Švedska
Switzerland,შვეიცარია,İsviçre,Suisse,Schweiz,Suíça,Zwitserland,Suiza,Svizzera,瑞士,Sveits,schweiz,Schweiz,Švýcarsko,Szwajcaria,Ελβετία,スイス,스위스,Švajcarska,Švicarska
Taiwan,ტაივანი,Tayvan,Taïwan,Taiwan,Taiwan,Taiwan,Taiwán,Taiwan,台湾,Taiwan,Taiwan,Taiwan,Taiwan,Tajwan,Ταϊβάν,台湾,대만,Tajvan,Tajvan
Thailand,ტაილანდი,Tayland,Thaïlande,Thailand,Tailândia,Thailand,Tailandia,Tailandia,泰国,Thailand,Thailand,Thailand,Thajsko,Tajlandia,Ταϊλάνδη,タイ,태국,Tajland,Tajland
Togo,ტოგო,Togo,Aller,Gehen,Ir,Gaan,Ir,Andare,多哥,Å gå,Togo,At gå,Jít,Togo,Να πάω,トーゴ,토고,Togo,Togo
Tunisia,ტუნისი,Tunus,Tunisie,Tunesien,Tunísia,Tunesië,Túnez,Tunisia,突尼斯,Tunisia,tunisien,Tunesien,Tunisko,Tunezja,Τυνησία,チュニジア,튀니지,Tunis,Tunis
Turkey,თურქეთი,Türkiye,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turcja,Turkey,Turkey,Turkey,Turska,Turska
UAE,არაბთა საემირობი,BAE,Émirats arabes unis,UAE,UAE,VAE,EAU,Emirati Arabi Uniti,阿联酋,UAE,UAE,UAE,UAE,ZEA,ΗΑΕ,UAE,아랍 에미리트,Ujedinjeni Arapski Emirati,Ujedinjeni Arapski Emirati
UK,დიდი ბრიტანეთი,UK,Royaume-Uni,Vereinigtes Königreich,Reino Unido,UK,Reino Unido,UK,联合王国,Storbritannia,Storbritannien,UK,Spojené království,UK,Ηνωμένο Βασίλειο,英国,영국,UK,Ujedinjeno Kraljevstvo
USA,აშშ,ABD,Etats-Unis,USA,EUA,Verenigde Staten van Amerika,Estados Unidos,Stati Uniti d'America,美国,USA,USA,USA,Spojené státy americké,USA,ΗΠΑ,米国,미국,SAD,SAD
Ukraine,უკრაინა,Ukrayna,Ukraine,Ukraine,Ucrânia,Oekraïne,Ucrania,Ucraina,乌克兰,Ukraina,Ukraina,Ukraine,Ukrajina,Ukraina,Ουκρανία,ウクライナ,우크라이나,Ukrajina,Ukrajina
Vatican City,ვატიკანი,Vatikan Şehri,Cité du Vatican,Vatikanstadt,Cidade do Vaticano,Vaticaanstad,Ciudad del Vaticano,Città del Vaticano,梵蒂冈城,Vatikanet,Vatikanstaten,Vatikanet,Vatikán,Watykan,Η πόλη του Βατικανού,バチカン市,바티칸 시티,Vatikan,Vatikan
Vietnam,ვიეტნამი,Vietnam,Viêt-Nam,Vietnam,Vietnã,Vietnam,Vietnam,Vietnam,越南,Vietnam,vietnam,Vietnam,Vietnam,Wietnam,Βιετνάμ,ベトナム,베트남,Vijetnam,Vijetnam
Angola,ანგოლა,Angora,Angola,Angola,Angola,Angola,Angola,angola,安哥拉,Angola,Angola,Angola,Angola,Angola,Αγκόλα,アンゴラ,앙골라,Angola,Angola
Antarctica,ანტარქტიკა,Antarktika,Antarctique,Antarktika,Antártica,Antarctica,Antártida,Antartide,南极洲,Antarktis,Antarktis,Antarktis,Antarctica,Antarktyda,Ανταρκτική,南極大陸,남극 대륙,Antarktik,Antarktika
French Southern and Antarctic Lands,საფრანგეთის სამხრეთული და ანტარქტიდული ტერიტორია,Fransız Güney ve Antarktika Toprakları,Français Terres Australes et Antarctiques,Französisch Süd- und Antarktisgebiete,Franceses do Sul e Antártica,Franse Zuidelijke en Antarctische gebieden,Meridional francés y Tierras antárticas,Terre australi e antartiche,法国南部和南极领地,Franske sørlige og antarktiske Lands,Franska sydliga och antarktiska Lands,Franske sydlige og antarktiske Lands,Francouzská jižní a antarktická území,Francuskie Terytoria Południowe i Antarktyczne,Γαλλικά νότια και ανταρκτικά εδάφη,フランスの南方・南極地域,프랑스 령 남부 및 남극,Francuske južne i antarktičke zemlje,Francuski južni i antarktički teritoriji
Burundi,ბურუნდი,Burundi,Burundi,Burundi,Burundi,Boeroendi,Burundi,Burundi,布隆迪,Burundi,burundi,Burundi,Burundi,Burundi,Μπουρούντι,ブルンジ,부룬디,Burundi,Burundi
Benin,ბენინი,Benin,Bénin,Benin,Benin,Benin,Benin,Benin,贝宁,Benin,Benin,Benin,Benin,Benin,Μπενίν,ベニン,베냉,Benin,Benin
The Bahamas,ბაჰამები,Bahamalar,Les Bahamas,Die Bahamas,As Bahamas,De Bahamas,Las Bahamas,Le Bahamas,巴哈马,Bahamas,Bahamas,Bahamas,Bahamy,Bahamy,Οι Μπαχάμες,バハマ,바하마 제도,Bahami,Bahami
Belize,ბელიზი,Belize,Belize,Belize,Belize,Belize,Belice,Belize,伯利兹,Belize,Belize,Belize,Belize,Belize,Μπελίζ,ベリーズ,벨리즈,Beliz,Belize
Botswana,ბოტსვანა,Botsvana,Botswana,Botswana,Botswana,Botswana,Botswana,Botswana,博茨瓦纳,Botswana,botswana,Botswana,Botswana,Botswana,Μποτσουάνα,ボツワナ,보츠와나,Bocvana,Bocvana
Republic of the Congo,კონგოს რესპუბლიკა,Kongo Cumhuriyeti,République du Congo,Republik Kongo,República do Congo,Republiek Congo,República del Congo,Repubblica del Congo,刚果民主共和国,Republikken Kongo,Republiken Kongo,Republik Congo,Konžská republika,Republika Konga,Δημοκρατία του Κονγκό,コンゴ共和国,콩고 공화국,Republika Kongo,Republika Kongo
Northern Cyprus,ჩრდილოეთ კვიპროსის,Kuzey Kıbrıs,Chypre du Nord,Nord-Zypern,Norte do Chipre,Noord-Cyprus,El norte de Chipre,Cipro del Nord,北塞浦路斯,Nord-Kypros,norra Cypern,Nordcypern,Severní Kypr,Północny Cypr,Βόρεια Κύπρος,北キプロス,북 키프로스,Severni Kipar,Sjeverni Cipar
Djibouti,ჯიბუტი,Cibuti,Djibouti,Dschibuti,Djibouti,Djibouti,Djibouti,Gibuti,吉布提,Djibouti,Djibouti,Djibouti,Džibutsko,Dżibuti,Τζιμπουτί,ジブチ,지부티,Džibuti,Džibuti
Eritrea,ერიტრეა,Eritre,Érythrée,Eritrea,Eritrea,Eritrea,Eritrea,l'Eritrea,厄立特里亚,Eritrea,Eritrea,Eritrea,Eritrea,Erytrea,Ερυθραία,エリトリア,에리트레아,Eritreja,Eritreja
Fiji,ფიჯი,Fiji,Fidji,Fidschi,Fiji,Fiji,Fiji,Fiji,斐,Fiji,Fiji,Fiji,Fiji,Fidżi,Φίτζι,フィジー,피지,Fidži,Fidži
Falkland Islands,ფოლკლენდის კუნძულები,Falkland adaları,les îles Falkland,Falkland Inseln,Ilhas Falkland,Falkland Eilanden,Islas Malvinas,Isole Falkland,福克兰群岛,Falklandsøyene,Falklandsöarna,Falklandsøerne,Falklandy,Falklandy,νησιά Φώκλαντ,フォークランド諸島,포클랜드 제도,Falklandska Ostrva,Falklandski otoci
Gambia,გამბია,Gambiya,Gambie,Gambia,Gâmbia,Gambia,Gambia,Gambia,冈比亚,Gambia,Gambia,Gambia,Gambie,Gambia,Γκάμπια,ガンビア,감비아,Gambija,Gambija
Guinea Bissau,გვინეა-ბისაუ,Gine Bissau,la Guinée-Bissau,Guinea-Bissau,Guiné-Bissau,Guinee-Bissau,Guinea Bissau,Guinea-Bissau,几内亚比绍,Guinea Bissau,Guinea-Bissau,Guinea-Bissau,Guinea Bissau,Gwinea Bissau,Γουινέα Μπισάου,ギニアビサウ,기니 비사우,Gvineja Bisao,Gvineja Bisau
Greenland,გრენლანდია,Grönland,Groenland,Grönland,Groenlândia,Groenland,Groenlandia,Groenlandia,格陵兰,Grønland,Grönland,Grønland,Grónsko,Grenlandia,Γροιλανδία,グリーンランド,그린 랜드,Grenland,Grenland
Haiti,ჰაიტი,Haiti,Haïti,Haiti,Haiti,Haïti,Haití,Haiti,海地,Haiti,haiti,Haiti,Haiti,Haiti,Αΐτη,ハイチ,아이티,Haiti,Haiti
Kyrgyzstan,ყირგიზეთი,Kırgızistan,Kirghizistan,Kirgisistan,Quirguistão,Kirgizië,Kirguizistán,Kyrgyzstan,吉尔吉斯斯坦,Kirgisistan,Kirgizistan,Kirgisistan,Kyrgyzstán,Kirgistan,Κιργιστάν,キルギス,키르기스스탄,Kirgistan,Kirgistan
Laos,ლაოსი,Laos,Laos,Laos,Laos,Laos,Laos,Laos,老挝,Laos,laos,Laos,Laos,Laos,Λάος,ラオス,라오스,Laos,Laos
Liberia,ლიბერია,Liberya,Libéria,Liberia,Libéria,Liberia,Liberia,Liberia,利比里亚,Liberia,liberia,Liberia,Libérie,Liberia,Λιβερία,リベリア,라이베리아,Liberija,Liberija
Libya,ლიბია,Libya,Libye,Libyen,Líbia,Libië,Libia,Libia,利比亚,Libya,libyen,Libyen,Libye,Libia,Λιβύη,リビア,리비아,Libija,Libija
Lesotho,ლესოტო,Lesotho,Lesotho,Lesotho,Lesoto,Lesotho,Lesoto,Lesoto,莱索托,Lesotho,lesotho,Lesotho,Lesotho,Lesotho,Λεσόθο,レソト,레소토,Lesoto,Lesoto
Madagascar,მადაგასკარი,Madagaskar,Madagascar,Madagaskar,Madagáscar,Madagascar,Madagascar,Madagascar,马达加斯加,Madagaskar,madagaskar,Madagaskar,Madagaskar,Madagaskar,Μαδαγασκάρη,マダカスカル,마다가스카르,Madagaskar,Madagaskar
Mali,მალი,Mali,Mali,Mali,Mali,Mali,mali,Mali,马里,Mali,Mali,Mali,Mali,Mali,Μάλι,マリ,말리,Mali,Mali
Myanmar,მიანმა,Myanmar,Myanmar,Myanmar,Myanmar,Myanmar,Myanmar,Myanmar,缅甸,Myanmar,Myanmar,Myanmar,Myanmar,Myanmar,Μιανμάρ,ビルマ,미얀마,Mjanmar,Mjanmar
Montenegro,მონტენეგრო,Karadağ,Monténégro,Montenegro,Montenegro,Montenegro,Montenegro,Montenegro,黑山,Montenegro,Montenegro,Montenegro,Černá Hora,Czarnogóra,Μαυροβούνιο,モンテネグロ,몬테네그로,Crna Gora,Crna Gora
Mozambique,მოზამბიკი,Mozambik,Mozambique,Mosambik,Moçambique,Mozambique,Mozambique,Mozambico,莫桑比克,Mosambik,Moçambique,Mozambique,Mosambik,Mozambik,Μοζαμβίκη,モザンビーク,모잠비크,Mozambik,Mozambik
Malawi,მალავი,Malawi,Malawi,Malawi,Malavi,Malawi,Malawi,Malawi,马拉维,Malawi,Malawi,Malawi,Malawi,Malawi,Μαλάουι,マラウイ,말라위,Malavi,Malavi
New Caledonia,ახალი კალედონია,Yeni Kaledonya,Nouvelle Calédonie,Neu-Kaledonien,Nova Caledônia,Nieuw-Caledonië,Nueva Caledonia,Nuova Caledonia,新喀里多尼亚,Ny Caledonia,Nya Kaledonien,Ny Kaledonien,Nová Kaledonie,Nowa Kaledonia,Νέα Καληδονία,ニューカレドニア,뉴 칼레도니아,Nova Kaledonija,Nova Kaledonija
Niger,ნიგერია,Nijer,Niger,Niger,Níger,Niger,Níger,Niger,尼日尔,Niger,Niger,Niger,Niger,Niger,Νίγηρας,ニジェール,니제르,Niger,Niger
Nicaragua,ნიკარაგუა,Nikaragua,Nicaragua,Nicaragua,Nicarágua,Nicaragua,Nicaragua,Nicaragua,尼加拉瓜,Nicaragua,nicaragua,Nicaragua,Nikaragua,Nikaragua,Νικαράγουα,ニカラグア,니카라과,Nikaragva,Nikaragva
Papua New Guinea,პაპუა ახალი გვინეა,Papua Yeni Gine,Papouasie Nouvelle Guinée,Papua Neu-Guinea,Papua Nova Guiné,Papoea-Nieuw-Guinea,Papúa Nueva Guinea,Papua Nuova Guinea,巴布亚新几内亚,Papua Ny-Guinea,Papua Nya Guinea,Papua Ny Guinea,Papua-Nová Guinea,Papua Nowa Gwinea,Παπούα Νέα Γουινέα,パプアニューギニア,파푸아 뉴기니,Papua Nova Gvineja,Papua Nova Gvineja
Puerto Rico,პუერტო რიკო,Porto Riko,Porto Rico,Puerto Rico,Porto Rico,Puerto Rico,Puerto Rico,Porto Rico,波多黎各,Puerto Rico,Puerto Rico,Puerto Rico,Portoriko,Portoryko,Πουέρτο Ρίκο,プエルトリコ,푸에르토 리코,Porto Riko,Portoriko
North Korea,ჩრდილოეთ კორეა,Kuzey Kore,Corée du Nord,Nord Korea,Coreia do Norte,Noord Korea,Corea del Norte,Corea del nord,北朝鲜,Nord-Korea,Nordkorea,Nordkorea,Severní Korea,Korea Północna,Βόρεια Κορέα,北朝鮮,북한,Severna Koreja,Sjeverna Koreja
Western Sahara,დასავლეთ საჰარას,Batı Sahra,Sahara occidental,Westsahara,Saara Ocidental,Westelijke Sahara,Sahara Occidental,Sahara occidentale,撒哈拉沙漠西部,Vestre Sahara,Västra Sahara,Vestsahara,západní Sahara,Sahara Zachodnia,Δυτική Σαχάρα,西サハラ,서부 사하라,Zapadna Sahara,Zapadna Sahara
South Sudan,სამხრეთ სუდანი,Güney Sudan,Soudan du sud,Südsudan,Sudão do Sul,Zuid Soedan,Sudán del Sur,Sudan del Sud,南苏丹,Sør-Sudan,södra Sudan,Sydsudan,jižní Súdán,Południowy Sudan,Νότιο Σουδάν,南スーダン,남 수단,Južni Sudan,Južni Sudan
Solomon Islands,სოლომონის კუნძულები,Solomon Adaları,Les îles Salomon,Salomon-Inseln,Ilhas Salomão,Solomon eilanden,Islas Salomón,Isole Salomone,所罗门群岛,Solomon øyene,SALOMONÖARNA,Salomonøerne,Solomonovy ostrovy,Wyspy Salomona,Νησιά του Σολομώντα,ソロモン諸島,솔로몬 제도,Solomonska Ostrva,Solomonski Otoci
Sierra Leone,სიერა ლეონე,Sierra Leone,Sierra Leone,Sierra Leone,Serra Leoa,Sierra Leone,Sierra Leona,Sierra Leone,塞拉利昂,Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone,Σιέρρα Λεόνε,シエラレオネ,시에라 리온,Siera Leone,Sijera Leone
El Salvador,ელ-სალვადორი,El Salvador,Le Salvador,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador,萨尔瓦多,El Salvador,El Salvador,El Salvador,El Salvador,Salwador,Ελ Σαλβαδόρ,エルサルバドル,엘살바도르,El Salvador,El Salvador
Somaliland,სომალის მიწა,Somaliland,Somaliland,Somali,Somaliland,Somaliland,Somalilandia,Somaliland,索马里兰,Somaliland,Somali,Somaliland,Somaliland,Somaliland,Σομαλιλάνδη,ソマリランド,소 말릴 란드,Somaliland,Somaliland
Somalia,სომალი,Somali,Somalie,Somalia,Somália,Somalië,Somalia,Somalia,索马里,Somalia,Somalia,Somalia,Somálsko,Somalia,Σομαλία,ソマリア,소말리아,Somalija,Somalija
Eswatini,სვაზილენდი,Svaziland,Swaziland,Swasiland,Suazilândia,Swaziland,Swazilandia,Swaziland,斯威士兰,Swaziland,Swaziland,Swaziland,Svazijsko,Suazi,Σουαζιλάνδη,スワジランド,스와질랜드,Esvatini,Esvatini
Syria,სირია,Suriye,Syrie,Syrien,Síria,Syrië,Siria,Siria,叙利亚,Syria,syrien,Syrien,Sýrie,Syria,Συρία,シリア,시리아,Sirija,Sirija
Chad,ჩადი,Çad,Tchad,Tschad,Chade,Tsjaad,Chad,Chad,乍得,Tsjad,Chad,Tchad,Chad,Czad,Τσαντ,チャド,차드,Čad,Čad
Tajikistan,ტაჯიკეთი,Tacikistan,Tadjikistan,Tadschikistan,Tadjiquistão,Tadzjikistan,Tayikistán,Tajikistan,塔吉克斯坦,Tadsjikistan,Tadzjikistan,Tadsjikistan,Tádžikistán,Tadżykistan,Τατζικιστάν,タジキスタン,타지키스탄,Tadžikistan,Tadžikistan
Turkmenistan,თურქმენეთი,Türkmenistan,Turkménistan,Turkmenistan,Turcomenistão,Turkmenistan,Turkmenistán,Turkmenistan,土库曼斯坦,Turkmenistan,Turkmenistan,Turkmenistan,Turkmenistán,Turkmenia,Τουρκμενιστάν,トルクメニスタン,투르크 메니스탄,Turkmenistan,Turkmenistan
East Timor,აღმოსავლეთ ტიმორი,Doğu Timor,Timor oriental,Osttimor,Timor Leste,Oost Timor,Timor del Este,Timor Est,东帝汶,Øst-Timor,Östtimor,Øst Timor,Východní Timor,Wschodni Timor,Ανατολικό Τιμόρ,東ティモール,동 티모르,Istočni Timor,Istočni Timor
United Republic of Tanzania,ტანზანიის გაერთიანებული რესპუბლიკა,Tanzanya Birleşik Cumhuriyeti,République-Unie de Tanzanie,Vereinigte Republik Tansania,República Unida da Tanzânia,Verenigde Republiek Tanzania,República Unida de Tanzania,Repubblica Unita di Tanzania,坦桑尼亚联合共和国,Tanzania,Tanzania,Forenede Republik Tanzania,Tanzánie,Zjednoczona Republika Tanzanii,Ενωμένη Δημοκρατία της Τανζανίας,タンザニア連合共和国,탄자니아 연합 공화국,Tanzanija,Tanzanija
Uganda,უგანდა,Uganda,Ouganda,Uganda,Uganda,Oeganda,Uganda,Uganda,乌干达,Uganda,Uganda,Uganda,Uganda,Uganda,Ουγκάντα,ウガンダ,우간다,Uganda,Uganda
